No.overall,No. inseason,Title,Storyboarded by,Directed by,Written by,Original air date,English air date,Viewership rating,Original_Air_Date,English_Air_Date
75,12,"""Unforeseen Hope""Transcription: ""Mienai Kibō"" (Japanese: 見えない希望)",Kō Matsuo,Shōji Ikeno,Yōsuke Kuroda,"January 4, 2020","February 8, 2020",3.3%,2020-01-04,2018-10-27
76,13,"""Infinite 100%""Transcription: ""Mugen Hyaku-pāsento"" (Japanese: 無限100%)","Takashi Kawabata,Masahiro Mukai","Masashi Abe,Tetsuya Miyanishi",Yōsuke Kuroda,"January 11, 2020","February 15, 2020",4.3%,2020-01-11,2018-11-03
77,14,"""Bright Future""Transcription: ""Akarui Mirai"" (Japanese: 明るい未来)",Miwa Sasaki,Miwa Sasaki,Yōsuke Kuroda,"January 18, 2020","February 29, 2020[p]",3.4%,2020-01-18,2018-11-10
78,15,"""Smoldering Flames""Transcription: ""Kusuburu Honō"" (Japanese: 燻る炎)",Naomi Nakayama,Shōji Ikeno,Yōsuke Kuroda,"January 25, 2020","March 7, 2020",4.3%,2020-01-25,2018-11-24
79,16,"""Win Those Kids' Hearts""Transcription: ""Tsukame Gaki Kokoro"" (Japanese: 掴めガキ心)",Hidekazu Hara,Hidekazu Hara,Yōsuke Kuroda,"February 1, 2020","March 14, 2020",5.2%,2020-02-01,2018-12-01
80,17,"""Relief for License Trainees""Transcription: ""Hokkore Karimen Kōshū"" (Japanese: ホッコれ仮免講習)",Takashi Kawabata,Masashi Abe,Yōsuke Kuroda,"February 8, 2020","March 21, 2020",4.3%,2020-02-08,2018-12-08
81,18,"""School Festival""Transcription: ""Bunkasai"" (Japanese: 文化祭)",Shinji Ishihira,Tetsuya Miyanishi,Yōsuke Kuroda,"February 15, 2020","March 28, 2020",4.5%,2020-02-15,2018-12-15
82,19,"""Prepping for the School Festival Is the Funnest Part""Transcription: ""Bunkasai-tte Junbi-shiteru Toki ga Ichiban Tanoshii yo ne"" (Japanese: 文化祭って準備してる時が一番楽しいよね)",Kō Matsuo,Shōji Ikeno,Yōsuke Kuroda,"February 22, 2020","April 4, 2020",4.3%,2020-02-22,2019-01-06
83,20,"""Gold Tips Imperial""Transcription: ""Gōrudo Tippusu Inperiaru"" (Japanese: ゴールドティップスインペリアル)",Naomi Nakayama,Masashi Abe,Yōsuke Kuroda,"February 29, 2020","April 19, 2020[q]",4.4%,2020-02-29,2019-01-13
84,21,"""Deku vs. Gentle Criminal""Transcription: ""Deku Bāsasu Jentoru Kuriminaru"" (Japanese: デクVSジェントル・クリミナル)",Shinji Ishihira,Shōji Ikeno,Yōsuke Kuroda,"March 7, 2020","April 26, 2020[r]",4.6%,2020-03-07,2019-01-20
85,22,"""School Festival Start!!""Transcription: ""Kaisai Bunkasai!!"" (Japanese: 開催文化祭!!)",Miwa Sasaki,Miwa Sasaki,Yōsuke Kuroda,"March 14, 2020","May 3, 2020",4.1%,2020-03-14,2019-01-27
86,23,"""Let It Flow! School Festival!""Transcription: ""Tare Nagase! Bunkasai!"" (Japanese: 垂れ流せ！文化祭！)",Shinji Satō,Shōji Ikeno,Yōsuke Kuroda,"March 21, 2020","May 17, 2020[s]",3.8%,2020-03-21,2019-02-03
87,24,"""Japanese Hero Billboard Chart""Transcription: ""Hīrō Birubōdo Chāto Jeipī"" (Japanese: ヒーロービルボードチャートJP)",Naomi Nakayama,Masashi Abe,Yōsuke Kuroda,"March 28, 2020","June 21, 2020[t]",6.0%,2020-03-28,2019-02-10
88,25,"""His Start""Transcription: ""Hajimarino"" (Japanese: 始まりの)",Tetsuya Miyanishi,Tetsuya Miyanishi,Yōsuke Kuroda,"April 4, 2020","June 28, 2020",5.6%,2020-04-04,2019-02-17
